question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,98.21875,305.8636363636364,0.503244,0.752381,0.533035,0.019048,0.752381,candidate_marked
1,2,125.5,304.0,0.036514,0.02439,0.085127,0.0,0.0,empty
1,3,148.83333333333334,305.8636363636364,0.097176,0.019048,0.29535,0.0,0.0,empty
1,4,175.0,304.5,0.03518,0.0,0.117266,0.0,0.0,empty
2,1,99.0,324.5,0.023824,0.0,0.079412,0.0,0.0,empty
2,2,123.78125,326.38461538461536,0.069641,0.057143,0.138487,0.009524,0.0,empty
2,3,148.83333333333334,326.38461538461536,0.060011,0.038095,0.142895,0.0,0.0,empty
2,4,175.0,325.0,0.057575,0.0,0.191917,0.0,0.0,empty
3,1,99.5,344.5,0.032137,0.0,0.107124,0.0,0.0,empty
3,2,124.5,345.0,0.015954,0.0,0.05318,0.0,0.0,empty
3,3,148.83333333333334,346.1818181818182,0.52898,0.733333,0.56803,0.114286,0.733333,candidate_marked
3,4,175.0,345.5,0.059077,0.013889,0.176089,0.0,0.0,empty
4,1,98.21875,366.59090909090907,0.488028,0.695238,0.552157,0.038095,0.695238,candidate_marked
4,2,123.78125,366.59090909090907,0.067176,0.038095,0.142969,0.028571,0.038095,empty
4,3,149.0,365.0,0.013196,0.0,0.043987,0.0,0.0,empty
4,4,175.0,363.5,0.089785,0.071429,0.159073,0.039683,0.0,empty
5,1,98.21875,387.6363636363636,0.128252,0.114286,0.18465,0.085714,0.07619,faint_trace_or_erased
5,2,123.78125,387.6363636363636,0.111725,0.104762,0.183529,0.038095,0.038095,faint_trace_or_erased
5,3,148.5,385.0,0.533353,0.8,0.577843,0.0,0.8,candidate_marked
5,4,175.0,386.0,0.019184,0.0,0.063946,0.0,0.0,empty
6,1,98.5,405.5,0.041742,0.009524,0.124855,0.0,0.0,empty
6,2,125.0,405.5,0.529785,0.777778,0.546374,0.063492,0.777778,candidate_marked
6,3,149.5,405.0,0.074224,0.057143,0.153763,0.009524,0.0,empty
6,4,175.0,406.5,0.071832,0.057143,0.121979,0.038095,0.0,empty
7,1,98.5,426.5,0.034387,0.0,0.114622,0.0,0.0,empty
7,2,124.0,427.5,0.073347,0.055556,0.161158,0.0,0.0,empty
7,3,151.0,426.0,0.58488,0.895238,0.582932,0.028571,0.895238,candidate_marked
7,4,175.0,428.0,0.085681,0.066667,0.161793,0.028571,0.0,empty
8,1,99.0,447.0,0.527955,0.790476,0.5662,0.009524,0.761905,candidate_marked
8,2,124.0,447.0,0.006218,0.0,0.020728,0.0,0.0,empty
8,3,148.83333333333334,448.3181818181818,0.026717,0.009524,0.074771,0.0,0.0,empty
8,4,174.5,447.5,0.008824,0.0,0.029412,0.0,0.0,empty
