question_id,option,cx,cy,score,ink_ratio,mean_darkness,strong_dark_ratio,component_area_ratio,state
1,1,112.5,264.0,0.918207,0.926829,0.918412,0.902439,0.926829,candidate_marked
1,2,129.5,264.0,0.001492,0.0,0.004974,0.0,0.0,empty
1,3,146.5,264.0,0.0,0.0,0.0,0.0,0.0,empty
1,4,163.5,264.0,0.000976,0.0,0.003252,0.0,0.0,empty
2,1,112.5,278.0,0.76023,0.756098,0.769871,0.756098,0.756098,candidate_marked
2,2,129.5,278.0,0.001951,0.0,0.006504,0.0,0.0,empty
2,3,146.5,278.0,0.0,0.0,0.0,0.0,0.0,empty
2,4,163.5,278.0,0.001435,0.0,0.004782,0.0,0.0,empty
3,1,112.5,291.0,0.0,0.0,0.0,0.0,0.0,empty
3,2,129.5,291.0,0.001492,0.0,0.004974,0.0,0.0,empty
3,3,146.5,291.0,0.869742,0.878049,0.870684,0.853659,0.878049,candidate_marked
3,4,163.5,291.0,0.000976,0.0,0.003252,0.0,0.0,empty
4,1,112.5,305.0,0.0,0.0,0.0,0.0,0.0,empty
4,2,129.5,305.0,0.669727,0.658537,0.695839,0.658537,0.658537,candidate_marked
4,3,146.5,305.0,0.0,0.0,0.0,0.0,0.0,empty
4,4,163.5,305.0,0.001463,0.0,0.004878,0.0,0.0,empty
5,1,112.5,318.0,0.0,0.0,0.0,0.0,0.0,empty
5,2,129.5,318.0,0.838623,0.829268,0.86045,0.829268,0.829268,candidate_marked
5,3,146.5,318.0,0.0,0.0,0.0,0.0,0.0,empty
5,4,163.5,318.0,0.000976,0.0,0.003252,0.0,0.0,empty
6,1,112.5,332.0,0.0,0.0,0.0,0.0,0.0,empty
6,2,129.5,331.8611111111111,0.613974,0.609756,0.623816,0.609756,0.609756,candidate_marked
6,3,146.5,331.5,0.015176,0.0,0.050588,0.0,0.0,empty
6,4,163.5,331.5,0.019,0.0,0.063333,0.0,0.0,empty
7,1,112.5,345.0,0.934663,0.95122,0.936681,0.902439,0.95122,candidate_marked
7,2,129.5,345.0,0.001607,0.0,0.005356,0.0,0.0,empty
7,3,146.5,345.0,0.0,0.0,0.0,0.0,0.0,empty
7,4,163.5,345.0,0.00109,0.0,0.003635,0.0,0.0,empty
8,1,112.5,358.5,0.824892,0.829268,0.835007,0.804878,0.829268,candidate_marked
8,2,129.5,358.5,0.017882,0.0,0.059608,0.0,0.0,empty
8,3,146.5,358.5,0.014824,0.0,0.049412,0.0,0.0,empty
8,4,163.5,358.5,0.016843,0.0,0.056144,0.0,0.0,empty
9,1,112.5,372.0,0.0,0.0,0.0,0.0,0.0,empty
9,2,129.5,372.0,0.001636,0.0,0.005452,0.0,0.0,empty
9,3,146.5,372.0,0.0,0.0,0.0,0.0,0.0,empty
9,4,163.5,372.0,0.733831,0.731707,0.738785,0.731707,0.731707,candidate_marked
10,1,112.5,385.5,0.707317,0.707317,0.707317,0.707317,0.707317,candidate_marked
10,2,129.5,385.5,0.020216,0.0,0.067386,0.0,0.0,empty
10,3,146.5,385.5,0.015314,0.0,0.051046,0.0,0.0,empty
10,4,163.5,385.5,0.019392,0.0,0.064641,0.0,0.0,empty
11,1,112.5,399.0,0.902037,0.902439,0.9011,0.902439,0.902439,candidate_marked
11,2,129.5,399.0,0.001722,0.0,0.005739,0.0,0.0,empty
11,3,146.5,399.0,0.0,0.0,0.0,0.0,0.0,empty
11,4,163.5,399.0,0.001176,0.0,0.003922,0.0,0.0,empty
12,1,112.5,412.0,0.756098,0.756098,0.756098,0.756098,0.756098,candidate_marked
12,2,129.5,412.0,0.001492,0.0,0.004974,0.0,0.0,empty
12,3,146.5,412.0,0.0,0.0,0.0,0.0,0.0,empty
12,4,163.5,412.0,0.000976,0.0,0.003252,0.0,0.0,empty
13,1,112.5,426.0,0.0,0.0,0.0,0.0,0.0,empty
13,2,129.5,426.0,0.733458,0.731707,0.737542,0.731707,0.731707,candidate_marked
13,3,146.5,426.0,0.0,0.0,0.0,0.0,0.0,empty
13,4,163.5,426.0,0.001205,0.0,0.004017,0.0,0.0,empty
14,1,112.5,439.0,0.0,0.0,0.0,0.0,0.0,empty
14,2,129.5,439.0,0.611363,0.609756,0.615112,0.609756,0.609756,candidate_marked
14,3,146.5,439.0,0.0,0.0,0.0,0.0,0.0,empty
14,4,163.5,439.0,0.000976,0.0,0.003252,0.0,0.0,empty
15,1,112.5,453.0,0.707317,0.707317,0.707317,0.707317,0.707317,candidate_marked
15,2,129.5,453.0,0.001808,0.0,0.006026,0.0,0.0,empty
15,3,146.5,453.0,0.0,0.0,0.0,0.0,0.0,empty
15,4,163.5,453.0,0.001263,0.0,0.004209,0.0,0.0,empty
16,1,112.5,466.0,0.0,0.0,0.0,0.0,0.0,empty
16,2,129.5,466.0,0.611248,0.609756,0.61473,0.609756,0.609756,candidate_marked
16,3,146.5,466.0,0.0,0.0,0.0,0.0,0.0,empty
16,4,163.5,466.0,0.000976,0.0,0.003252,0.0,0.0,empty
17,1,112.5,480.0,0.0,0.0,0.0,0.0,0.0,empty
17,2,129.5,480.0,0.001865,0.0,0.006217,0.0,0.0,empty
17,3,146.5,480.0,0.0,0.0,0.0,0.0,0.0,empty
17,4,163.5,480.0,0.766973,0.756098,0.792348,0.756098,0.756098,candidate_marked
18,1,112.5,493.0,0.0,0.0,0.0,0.0,0.0,empty
18,2,129.5,493.0,0.78594,0.780488,0.798661,0.780488,0.780488,candidate_marked
18,3,146.5,493.0,0.0,0.0,0.0,0.0,0.0,empty
18,4,163.5,493.0,0.000976,0.0,0.003252,0.0,0.0,empty
19,1,112.5,507.0,0.0,0.0,0.0,0.0,0.0,empty
19,2,129.5,507.0,0.001923,0.0,0.006408,0.0,0.0,empty
19,3,146.5,507.0,0.0,0.0,0.0,0.0,0.0,empty
19,4,163.5,507.0,0.874591,0.878049,0.886848,0.853659,0.878049,candidate_marked
20,1,112.5,520.0,0.0,0.0,0.0,0.0,0.0,empty
20,2,129.5,520.0,0.001492,0.0,0.004974,0.0,0.0,empty
20,3,146.5,520.0,0.853659,0.853659,0.853659,0.853659,0.853659,candidate_marked
20,4,163.5,520.0,0.000976,0.0,0.003252,0.0,0.0,empty
21,1,112.5,534.0,0.709383,0.707317,0.714204,0.707317,0.707317,candidate_marked
21,2,129.5,534.0,0.002009,0.0,0.006695,0.0,0.0,empty
21,3,146.5,534.0,0.0,0.0,0.0,0.0,0.0,empty
21,4,163.5,534.0,0.001435,0.0,0.004782,0.0,0.0,empty
